Project Short Code,GroupCode,SiteID,NorthSouthOrder,SampleSeason,SamplingSeasonCode,Sample Year,SeasonSeq,Survey Year,Survey Month,Survey Day,Genus,PlotID,6 letter code,Species Name,SpeciesSize (mm),Comments
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,1,NUCEMA,Nucella emarginata,12,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,1,NUCEMA,Nucella emarginata,15,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,1,NUCEMA,Nucella emarginata,14,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,2,NUCEMA,Nucella emarginata,19,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,2,NUCEMA,Nucella emarginata,15,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,2,NUCEMA,Nucella emarginata,12,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,2,NUCEMA,Nucella emarginata,14,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,2,NUCEMA,Nucella emarginata,12,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,2,NUCEMA,Nucella emarginata,12,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,2,NUCEMA,Nucella emarginata,16,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,2,NUCEMA,Nucella emarginata,16,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,2,NUCEMA,Nucella emarginata,11,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,2,NUCEMA,Nucella emarginata,11,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,3,NUCEMA,Nucella emarginata,10,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,3,NUCEMA,Nucella emarginata,5,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,3,NUCEMA,Nucella emarginata,20,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,3,NUCEMA,Nucella emarginata,8,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,3,NUCEMA,Nucella emarginata,10,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,4,NUCEMA,Nucella emarginata,10,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,5,NUCEMA,Nucella emarginata,14,
NC_RockyIt,HSU,PSG,5005,134,SU14,2014,1,2014,5,21,mytilus,5,NUCEMA,Nucella emarginata,12,
