Project Short Code,GroupCode,SiteID,SamplingSeasonCode,Sample Year,Survey Year,Survey Month,Survey Day,Zone,Date,Species,Length (mm),Notes
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,H,12-Aug-14,Apodichthys flavidus,94,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Apodichthys flavidus,92,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Apodichthys flavidus,76,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Apodichthys flavidus,74,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,H,12-Aug-14,Apodichthys flavidus,64,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Apodichthys flavidus,64,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,H,12-Aug-14,Apodichthys fucorum,61,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,H,12-Aug-14,Cebidichthys violaceus,109,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,H,12-Aug-14,Cebidichthys violaceus,102,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Cebidichthys violaceus,98,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Cebidichthys violaceus,87,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,H,12-Aug-14,Clinocottus acuticeps,43,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,H,12-Aug-14,Clinocottus acuticeps,40,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Clinocottus acuticeps,39,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Clinocottus acuticeps,38,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Clinocottus acuticeps,37,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Clinocottus acuticeps,37,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,H,12-Aug-14,Clinocottus acuticeps,36,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,H,12-Aug-14,Clinocottus acuticeps,36,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Clinocottus acuticeps,35,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Clinocottus acuticeps,32,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Clinocottus acuticeps,30,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Clinocottus embryum,34,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Clinocottus globiceps,39,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Clinocottus recalvus,44,
NC_RockyIt,HSU,PSG,SU14,2014,2014,9,12,M,12-Aug-14,Clinocottus recalvus,42,
